first_inspection,name,cuisine,borough,building,street,zipcode,phone,camis
2026-04-20,CIBAO,Latin American,Manhattan,72,Clinton Street,10002,2122280703,50177837
2026-04-20,FUSHIMI AT BAY RIDGE,Japanese,Brooklyn,9316,4 Avenue,11209,7188337788,50166680
2026-04-20,DELANCEY STREET PIZZA,Pizza,Manhattan,61,Delancey Street,10002,6464484388,50177508
2026-04-20,MALA PANDA,Chinese/Japanese,Manhattan,105,West   27 Street,10001,7184158888,50181643
2026-04-19,ARCHER & GOAT,American,Manhattan,187,Lenox Avenue,10026,9172616602,50086291
2026-04-18,DOS TOROS TAQUERIA,Tex-Mex,Brooklyn,1,Boerum Place,11201,9295485913,50179334
2026-04-18,FREETOWN KITCHEN,African,Brooklyn,1172,Park Place,11213,3474956503,50180357
2026-04-18,SUSHI LIN,Japanese,Brooklyn,78,Clark Street,11201,6467245104,50136041
2026-04-18,SHUN LEE PALACE,Chinese,Manhattan,155,East   55 Street,10022,2123718844,50183187
2026-04-18,HAMILTON PIZZA AND PASTA,Spanish,Brooklyn,9050,Fort Hamilton Parkway,11209,7184045134,50172936
2026-04-17,The A. Lounge (Hotel AKA NoMad),New American,Manhattan,131,Madison Avenue,10016,2124482000,50183220
2026-04-17,M & H BAKERY,Bakery Products/Desserts,Brooklyn,5808,Fort Hamilton Parkway,11219,6467448384,50180407
2026-04-17,OH MERCY,American,Brooklyn,128,Franklin Street,11222,9293683236,50181979
2026-04-17,ANZA CAFE,American,Manhattan,1389,Madison Avenue,10029,9292178365,50179510
2026-04-17,BAR HERETIC,New American,Brooklyn,270,Clermont Avenue,11205,7185763957,50178299
2026-04-17,COMMUNE,American,Brooklyn,415,Classon Avenue,11238,7187813330,50181173
2026-04-16,TWISTED KNOT CAFE & LOUNGE,American,Manhattan,33,West   37 Street,10018,3133633032,50178504
2026-04-16,SWAGAT,Indian,Manhattan,411A,Amsterdam Avenue,10024,2123621400,41569904
2026-04-16,BY & BY,Other,Manhattan,644,10 Avenue,10036,6464764022,50165378
2026-04-16,DYNAMO ROOM,Steakhouse,Manhattan,2,Penn Plaza,10121,2032979477,50167197
2026-04-16,VERONICA'S CAFE,Latin American,Manhattan,48,West   46 Street,10036,9174349350,50180153
2026-04-16,CHIPOTLE MEXICAN GRILL #5068,Other,Brooklyn,1681,Pitkin Avenue,11212,6143182482,50180923
2026-04-16,AUTUMN ASIAN RESTAURANT,Chinese,Brooklyn,349,Flatbush Avenue,11238,6465935586,50181262
2026-04-16,TEQUILA CHITO'S MEXICAN GRILL,Mexican,Manhattan,358,West   23 Street,10011,2124630535,41256155
2026-04-16,PURE EATS,"Juice, Smoothies, Fruit Salads",Brooklyn,147,Greenpoint Avenue,11222,6078423348,50165039
2026-04-16,TAQUERIA EL CHATO,Mexican,Brooklyn,620,Manhattan Avenue,11222,9175758384,50174843
2026-04-16,GOLDEN RICE,Chinese,Brooklyn,6515,18 Avenue,11204,7187596300,50181139
2026-04-16,WENDY'S,Hamburgers,Brooklyn,277,Broadway,11211,2126191222,50182705
2026-04-16,URBAN BACKYARD,Coffee/Tea,Manhattan,161,6 Avenue,10013,4438392392,50172475
2026-04-16,LOADED,Portuguese,Manhattan,182,Avenue B,10009,3478078023,50176752
2026-04-16,BB36609BB LLC,Other,Manhattan,366,West   46 Street,10036,2126732273,50165849
2026-04-15,BAR PRIMI,Italian,Manhattan,349,West   33 Street,10001,9415442081,50149726
2026-04-15,THE LIVING ROOM,Other,Manhattan,500,West   18 Street,10011,9296675875,50177571
2026-04-15,MIZNON,Mediterranean,Manhattan,30,Rockefeller Plaza,10112,6463604730,50177871
2026-04-15,Matto,Coffee/Tea,Manhattan,15,West   38 Street,10018,6465333661,50177913
2026-04-15,STUDIO CAFE,Coffee/Tea,Manhattan,144,West  125 Street,10027,9145574078,50178047
2026-04-15,CONECTICUT MUFFINS,Other,Brooklyn,206,Prospect Park West,11215,3477015995,50181141
2026-04-15,WHITFIELD'S RESTAURANT BK2,Soul Food,Brooklyn,197,Patchen Avenue,11233,7185340481,50182282
2026-04-15,7TH STREET BURGER,Hamburgers,Brooklyn,1409,Kings Highway,11229,6462246919,50177229
2026-04-15,LA BOCA,Other,Manhattan,500,West   18 Street,10011,9296675875,50177567
2026-04-15,TITO'S RESTAURANT,Spanish,Brooklyn,1708,86 Street,11214,9293014067,50178018
2026-04-15,CARROT EXPRESS,Soups/Salads/Sandwiches,Manhattan,100,Kenmare Street,10012,7865540818,50180592
2026-04-15,Casita of Brooklyn,Coffee/Tea,Manhattan,300,East   86 Street,10028,9175136773,50181362
2026-04-15,SONNY'S CORNER,American,Brooklyn,142,Franklin Street,11222,9177550002,50182531
2026-04-15,La Panineria,Italian,Manhattan,616A,Amsterdam Avenue,10024,9172830197,50178806
2026-04-15,NAYA,Middle Eastern,Manhattan,30,Rockefeller Plaza,10112,2125979158,50171263
2026-04-15,TINTO,Latin American,Manhattan,41,Monroe Street,10002,3322326319,50178354
2026-04-15,CHOPPED,Sandwiches,Manhattan,101,Macdougal Street,10012,6463603251,50180767
2026-04-15,JOE'S PIZZA (PIES ONLY),Pizza,Manhattan,1441,Broadway,10018,6465976103,50181327
2026-04-15,GERTIE,American,Brooklyn,602,Vanderbilt Avenue,11238,7182101994,50179499
2026-04-14,MAISON NUR,New French,Manhattan,217,Bowery,10002,9176356461,50169976
2026-04-14,POPUP BAGELS,Bagels/Pretzels,Manhattan,20,East   16 Street,10003,9174175555,50177676
2026-04-14,MEZEH,Mediterranean,Manhattan,1700,Broadway,10019,7187015366,50177990
2026-04-14,BOONGS GRAB & GO,Chinese,Manhattan,77,3 Avenue,10003,6469830367,50178037
2026-04-14,EMO KIM BOB,Korean,Manhattan,2,West   32 Street,10001,2125941466,50179043
2026-04-14,SAXBYS,Other,Manhattan,140,West   62 Street,10023,5707782381,50176207
2026-04-14,LA PERLA NASCOTA,Italian,Manhattan,206,West   79 Street,10024,6465100943,50178106
2026-04-14,ZARA TERRACE,Turkish,Manhattan,862,2 Avenue,10017,9178170746,50176977
2026-04-14,THE CAFE @ CORNELL TECH,American,Manhattan,2,W Loop Rd,10044,9174179287,50178227
2026-04-14,86 GOLDEN BAY RESTAURANT,Chinese,Brooklyn,2144,86 Street,11214,7186187939,50180504
2026-04-14,WHITE NOISE,Coffee/Tea,Manhattan,606,West   57 Street,10019,6465960022,50150892
2026-04-14,LA BOMBONIERA,Coffee/Tea,Manhattan,203,West   82 Street,10024,3474395842,50177938
2026-04-14,SWEETGREEN,Salads,Manhattan,870,Broadway,10003,6462956677,50178823
2026-04-14,DISTRICT TACO,Mexican,Brooklyn,531,Myrtle Avenue,11205,9179477711,50181353
2026-04-14,RENNY RESTAURANT,Other,Brooklyn,1571,Broadway,11207,9177034906,50182269
2026-04-14,BAO NOODLE HOUSE,Chinese,Manhattan,110,Bowery,10013,6465486895,50179411
2026-04-14,LUIGI'S PIZZA,Pizza,Brooklyn,1615,Avenue U,11229,7183829100,50181817
2026-04-13,HARLEM BLENDS,"Juice, Smoothies, Fruit Salads",Manhattan,2360,Frederick Douglass Boulevard,,6466492007,50177721
2026-04-13,JAY & SON LATIN FLAVOR,Latin American,Brooklyn,879,Broadway,11206,3478183049,50178495
2026-04-13,STARBUCKS,Coffee/Tea,Manhattan,1,7 Avenue,10011,6469149717,50181264
2026-04-13,LEBRON CAFE,"Juice, Smoothies, Fruit Salads",Manhattan,3835,9 Avenue,10034,3475382570,50178995
2026-04-13,RAISING CANE'S #1118,Chicken,Brooklyn,506,Utica Avenue,11203,9294583724,50179848
2026-04-13,GYOZA SHOP,Chinese,Brooklyn,208,Bedford Avenue,11249,7183888898,50181354
2026-04-13,SEE SHARP CAFE,Coffee/Tea,Manhattan,408,Fort Washington Avenue,10033,3475773177,50176136
2026-04-13,THE BROOKLYN STRATEGIST,American,Brooklyn,148,Pierrepont Street,11201,7185763035,50179717
2026-04-13,Red Poke,Other,Manhattan,598,9 Avenue,10036,9177473395,50179217
2026-04-13,FIGO IL GELATO ITALIANO,Frozen Desserts,Manhattan,1188,1 Avenue,10065,6463867501,50168816
2026-04-11,ADMIRE - GREENWOOD,Chinese,Brooklyn,5602,8Th Ave,11220,3473286788,50162183
2026-04-11,HOMETOWN FLAVORS,Chinese,Brooklyn,5017,8 Avenue,11220,7188533385,50180728
2026-04-11,BURRITO LOCO DELI & GROCERY,Mexican,Brooklyn,6,Sutter Avenue,11212,9174566302,50181899
2026-04-10,MAMAN,Bakery Products/Desserts,Manhattan,71,Broadway,10006,6463295773,50179291
2026-04-10,PLAYA BOWLS,"Juice, Smoothies, Fruit Salads",Manhattan,334,1 Avenue,10009,6463691444,50179762
2026-04-10,NEUEHOUSE,American,Manhattan,110,East   25 Street,10010,3477911737,50179550
2026-04-10,AURA D'Or,Coffee/Tea,Manhattan,42,West   35 Street,10001,7186463251,50180069
2026-04-10,COFFEE + COCKTAILS,American,Manhattan,18,9 Avenue,10014,2122066700,50181561
2026-04-09,LUCCIOLA,Italian,Manhattan,621,Amsterdam Avenue,10024,3475361335,50071274
2026-04-09,LOVED ONES COFFEE,Coffee/Tea,Brooklyn,253,Bergen Street,11217,2016325847,50173983
2026-04-09,SEOUL SWEETS,Korean,Manhattan,308,5 Avenue,10001,6467070822,50163819
2026-04-09,El Super Tipico Restaurant,Spanish,Brooklyn,2933,Fulton Street,11207,9293316969,50171429
2026-04-09,POKE BOWL,Hawaiian,Manhattan,333,7 Avenue,10001,7023269887,50180012
2026-04-09,Festac Grill & Lounge,African,Brooklyn,273,Hendrix Street,11207,3477505152,50176839
2026-04-09,CURRY IN HANDI,Indian,Brooklyn,443,Bushwick Avenue,11206,7183811333,50177713
2026-04-09,RICE & MISO,Japanese,Brooklyn,134,Nevins Street,11217,9292793488,50181198
2026-04-09,MADISON PIZZA NYC,Pizza,Manhattan,14,East   37 Street,10016,2019210270,50179516
2026-04-08,ALOHA ALLEY,Hawaiian,Brooklyn,40,Main Street,11201,9179727796,50171026
2026-04-08,SAN WEI (located in Dining Concourse),Chinese,Manhattan,89,East   42 Street,10017,9178594095,50173837
2026-04-08,CHINA KING,Chinese,Brooklyn,6805,New Utrecht Avenue,11219,7188393629,50182151
2026-04-08,SKINNY LOUIE,Hamburgers,Manhattan,1145,Broadway,10001,7866821339,50172798
2026-04-08,LA BAGEL DELIGHT COURT,Other,Brooklyn,90,Court Street,11201,6466474405,50179817
2026-04-08,BAYA BAR,"Juice, Smoothies, Fruit Salads",Manhattan,775,Columbus Avenue,10025,9172328239,50171081
2026-04-08,TACOS 1986 / MIXTECA,Mexican,Manhattan,162,West    4 Street,10014,7062240299,50177357
2026-04-08,7TH STREET BURGER,Hamburgers,Manhattan,11,West   42 Street,10036,8773321811,50168668
2026-04-08,JOE & THE JUICE,"Juice, Smoothies, Fruit Salads",Manhattan,20,Hudson Yards,10001,5516978631,50168983
2026-04-07,JOE & THE JUICE,"Juice, Smoothies, Fruit Salads",Manhattan,1185,6 Avenue,10036,9174840425,50171257
2026-04-07,LAILAS,Middle Eastern,Brooklyn,8530,3 Avenue,11209,3476367262,50158650
2026-04-07,HI SUNNY,Chinese,Manhattan,342,7 Avenue,10001,2126609666,50166258
2026-04-07,CHOR BAZAAR,Indian,Manhattan,37,West   30 Street,10001,9178472666,50173608
2026-04-07,GO BAGELS,Bagels/Pretzels,Manhattan,181,Grand Street,10013,2123350609,50174014
2026-04-07,BOLO BOLO,Coffee/Tea,Brooklyn,196,Court Street,11201,6148040762,50176910
2026-04-07,COTTI COFFEE / VIVI TEA / MD FRIED CHICKEN,Korean,Brooklyn,314,Bedford Avenue,11249,6466620009,50178017
2026-04-07,FELLINI COFFEE,Coffee/Tea,Manhattan,420,West   14 Street,10014,6463703370,50178725
2026-04-07,KING KONG NYM,Chinese,Manhattan,104,Mott Street,10013,9294808108,50179356
2026-04-07,PIZZA PERRON,Latin American,Brooklyn,3007,Fort Hamilton Parkway,11218,7188543462,50180094
2026-04-07,LOONG RAMEN,Chinese,Manhattan,21,South End Avenue,10280,6469129999,50180639
2026-04-07,FISH SAUCE,Thai,Brooklyn,247,Suydam Street,11237,6469641414,50182503
2026-04-07,PARK AT KIMS,Coffee/Tea,Manhattan,119,Elizabeth Street,10013,9175800535,50175658
2026-04-07,ANEW CAFE & GOODS,Coffee/Tea,Manhattan,526,Hudson Street,10014,9179575215,50176124
2026-04-07,CHIM CHIM,Southeast Asian,Manhattan,352,East   20 Street,10003,9296189371,50179828
2026-04-07,QUE RICO,Latin American,Manhattan,221,East   23 Street,10010,9294413250,50180712
2026-04-07,THE RIPPLE ROOM,American,Manhattan,183,Bowery,10002,9176588941,50170700
2026-04-06,SIMPL,Coffee/Tea,Manhattan,927,2 Avenue,10022,2135891269,50176565
2026-04-06,CHAHALO,Coffee/Tea,Manhattan,79,Mott Street,10013,9296848575,50176929
2026-04-06,COOLEY LLP,American,Manhattan,55,Hudson Yards,10001,7043286780,50180648
2026-04-06,ORA LA CASA DE LAS FLORES,Coffee/Tea,Manhattan,401,West   24 Street,10011,9178595086,50182240
2026-04-06,A'MORE CAFFE,Coffee/Tea,Manhattan,126,West   25 Street,10001,6468013868,50172499
2026-04-06,GNOCCHI ON 9TH,Italian,Manhattan,836,7 Avenue,10019,6464550405,50176521
2026-04-06,TIPSY SHANGHAI RESTAURANT,Chinese,Manhattan,594,3 Avenue,10016,2124666488,50181132
2026-04-06,JESSI'S COFFEE SHOP,Coffee/Tea,Brooklyn,223,Bushwick Avenue,11206,7183863931,50182304
2026-04-06,EATALY CAFFE,Italian,Manhattan,20,Hudson Yards,10001,6464353450,50170550
2026-04-06,DERBY CUP COFFEE,Coffee/Tea,Manhattan,37,Elizabeth Street,10013,3478615169,50171410
2026-04-06,RESTAURANT ASSOCIATES(1285 MARKETS),American,Manhattan,1285,Avenue Of The Americas,10019,6462869733,50181073
2026-04-06,BKK NEW YORK,Thai,Manhattan,238,West   56 Street,10019,9144914289,50165918
2026-04-06,EATALY CAFFE,Italian,Manhattan,1230,Avenue Of The Americas,10020,2125390833,50169445
2026-04-06,SHAH'S HALAL FOOD,Middle Eastern,Manhattan,179,Madison Avenue,10016,6463441949,50177409
2026-04-06,IHOP,American,Manhattan,4168,Broadway,10033,2129273377,50180359
2026-04-03,COFFEE WITH MILK,Other,Brooklyn,504,Nostrand Avenue,11216,3475133296,50175221
2026-04-03,TAQUERIA AL PASTOR,Other,Manhattan,424,5 Avenue,10018,3477911216,50182622
2026-04-03,VARIETY COFFEE ROASTERS,Coffee/Tea,Manhattan,455,Amsterdam Avenue,10024,7184182326,50175559
2026-04-03,CAFE HERE,Coffee/Tea,Brooklyn,499,Van Brunt Street,11231,6318716795,50172498
2026-04-02,THE GEORGIAN SUITE KITCHEN,Continental,Manhattan,1A,East   77 Street,10075,2127341468,40364691
2026-04-02,DELI AVE M,Mexican,Brooklyn,1710,Avenue M,11230,5169607017,50174559
2026-04-02,MEET & MEAT,Mediterranean,Brooklyn,361,Graham Avenue,11211,6469227528,50175835
2026-04-02,LE B NYC,French,Manhattan,283,West   12 Street,10014,2126752808,50110272
2026-04-02,SEMICOLON CAFE,Coffee/Tea,Manhattan,516A,3 Avenue,10016,2019379123,50171765
2026-04-02,URGUT CITY,Eastern European,Brooklyn,1904,Coney Island Avenue,11230,3477794444,50174956
2026-04-02,WEST10WEST,New American,Manhattan,242,West   10 Street,10014,9162302248,50133507
2026-04-02,NINO'S RISTORANTE,Italian,Manhattan,405,East   52 Street,10022,2129880002,50171954
2026-04-02,CARNE,American,Brooklyn,140,Schermerhorn Street,11201,9293371280,50171043
2026-04-02,ATOMIC WINGS,Chicken,Brooklyn,66,Willoughby Street,11201,3476397822,50180495
2026-04-01,FOUNTAIN HOUSE AND BODY,Coffee/Tea,Manhattan,698,10 Avenue,10019,6467915555,50162594
2026-04-01,THE CORNER,Coffee/Tea,Manhattan,270,Park Avenue,10017,7043286780,50171994
2026-04-01,BROAD STREET DELI,Sandwiches,Manhattan,270,Park Avenue,10017,9175312269,50172040
2026-04-01,PALACE FRIED CHICKEN & PIZZA,American,Brooklyn,523,Brighton Beach Avenue,11235,7187436836,50181009
2026-04-01,DENKI SUSHI,Asian/Asian Fusion,Manhattan,270,Park Avenue,10017,7043286780,50171981
2026-04-01,COFFEE BAR,Coffee/Tea,Manhattan,270,Park Avenue,10017,7043286780,50172003
2026-04-01,TAPAS ON LEX,Latin American,Manhattan,1643,Lexington Avenue,10029,9144332205,50182863
2026-04-01,ARIA,Italian,Manhattan,365,West   51 Street,10019,2125419241,50005405
2026-04-01,MADISON KITCHEN (HEARTH/MEZZE/SIZZLE),American,Manhattan,270,Park Avenue,10017,7043286780,50172033
2026-04-01,LITTLE DIRT CANDY,Vegan,Manhattan,270,Park Avenue,10017,7043286780,50172035
2026-04-01,UMAMI ASIAN WOK AND NOODLE,Asian/Asian Fusion,Manhattan,270,Park Avenue,10017,9175312269,50172037
2026-04-01,JUST SALAD,Salads,Manhattan,485,Lexington Avenue,10017,3473788122,50176961
2026-04-01,DAILY PROVISIONS,American,Manhattan,270,Park Avenue,10017,7043286780,50171988
2026-04-01,MORGAN'S,American,Manhattan,270,Park Avenue,10017,9175312269,50171998
2026-04-01,SWEETGREEN,American,Manhattan,270,Park Avenue,10017,7043286780,50172006
2026-04-01,STARBUCKS,Coffee/Tea,Manhattan,270,Park Avenue,10017,7043286780,50172011
2026-04-01,PIZZA/RIO BRONCO/AIR STREEMS/SOUP,American,Manhattan,270,Park Avenue,10017,7043286780,50172016
2026-04-01,COOKIES BY JACKIE,Bakery Products/Desserts,Manhattan,1000,South 8Th Avenue,10019,2017136434,50172446
2026-04-01,"Fuel Bar, Kiosks Pop Up Bars and Market Bar",Other,Manhattan,270,Park Avenue,10017,9175312269,50172018
2026-03-31,FATTOUSH,Mediterranean,Manhattan,221,1 Avenue,10003,9172614900,50153328
2026-03-31,SERAFINA TIMES SQUARE,Italian,Manhattan,224,West   49 Street,10019,2122471000,50170404
2026-03-31,LAGRANGE,French,Manhattan,428,Lafayette Street,10003,2676253568,50182671
2026-03-31,MOONBURGER,Hamburgers,Manhattan,72,Kenmare Street,10012,2125006099,50176478
2026-03-31,TEAPULSE,Coffee/Tea,Manhattan,18,Doyers Street,10013,6462216081,50173177
2026-03-31,DRAVIDA,Indian,Manhattan,211,1 Avenue,10003,4016995421,50181761
2026-03-31,SANKU MAOTS'AI,Chinese,Manhattan,167,1 Avenue,10003,9178229122,50172713
2026-03-31,COCONUT THYME CUISINE,Caribbean,Brooklyn,531,Utica Avenue,11203,7192097043,50183124
2026-03-30,CAFFE PARADISO,Coffee/Tea,Manhattan,202,Elizabeth Street,10012,3477075656,50169169
2026-03-30,EMEK CHEESEPASTA LLC,Italian,Manhattan,695,9 Avenue,10036,9176085359,50161469
2026-03-30,JOOY TEA SHOPPE,Other,Manhattan,208,Grand St,10013,6469440092,50166723
2026-03-30,DRAGON KING,Chinese,Brooklyn,1126,Broadway,11221,9295843333,50181755
2026-03-30,NEOVISTA FRESH MARKET,American,Brooklyn,836,Broadway,11206,6469960720,50182590
2026-03-30,TERRIFIC WINGS TACOS 'N' THINGS,American,Manhattan,2131,3 Avenue,10035,9174216404,50107638
2026-03-30,THE MERMAID INN,Seafood,Manhattan,335,Columbus Avenue,10023,9176403667,50156295
2026-03-30,NY SOHO COFFEE,Other,Manhattan,447,Broadway,10013,6467763988,50167048
2026-03-30,GOOD TASTE,Chinese,Brooklyn,235,Kingston Avenue,11213,7182211112,50173448
2026-03-30,LA FOURNAISE,Coffee/Tea,Brooklyn,985,Flushing Avenue,11206,6469530700,50175131
2026-03-30,KINSHIP COFFEE ROASTERS,Coffee/Tea,Manhattan,106,South Street,10038,6464687149,50175148
2026-03-30,583 PARK AVENUE,American,Manhattan,583,Park Avenue,10065,2125837200,50182874
2026-03-30,EMMA JUICE BAR LLC,"Juice, Smoothies, Fruit Salads",Brooklyn,1458,Saint Johns Place,11213,6467501419,50180967
2026-03-28,TOTONNO'S PIZZERIA,Pizza,Brooklyn,1524,Neptune Avenue,11224,7183728606,40561290
2026-03-28,TIPSY BEAN,Coffee/Tea,Brooklyn,124,Irving Avenue,11237,3322363614,50172290
2026-03-27,BIXI,American,Manhattan,2164,Frederick Douglass Boulevard,,6464908575,50105272
2026-03-27,AUNTIE ANNE'S/CINNABON,Donuts,Brooklyn,1570,Flatbush Avenue,11210,3479860213,50182001
2026-03-27,NEWLAB,American,Brooklyn,19,Morris Avenue,11205,8083992969,50168250
2026-03-26,METRO PRIVATE CINEMA,American,Manhattan,131,8 Avenue,10011,5125073361,50172101
2026-03-26,FOODIE BBQ & BAR,Chinese,Manhattan,300,Grand Street,10002,3476360365,50179203
2026-03-26,FAENA NEW YORK,American,Manhattan,500,West   18 Street,10011,9296675875,50175702
2026-03-25,J & E PARTY,Chinese,Brooklyn,7819,17 Avenue,11214,7186219388,50165049
2026-03-25,AYAT,Middle Eastern,Brooklyn,274,36 Street,11232,7188312585,50165784
2026-03-25,CAFE RIAZOR,Spanish,Manhattan,245,West   16 Street,10011,2127272132,50172381
2026-03-25,EMPEROR DUMPLING,Chinese,Manhattan,688,8 Avenue,10036,6468385599,50170659
2026-03-25,REMI FLOWER & COFFEE,Bakery Products/Desserts,Manhattan,425,Park Avenue South,10016,6468251177,50181544
2026-03-25,LOAFERS COCKTAIL BAR,American,Brooklyn,517,Court Street,11231,5165074316,50160909
2026-03-25,THE GYRO PROJECT,Greek,Manhattan,593,1 Avenue,10016,2129837474,50182072
2026-03-25,GOOP KITCHEN,American,Manhattan,750,8 Avenue,10036,6613105685,50182336
2026-03-24,FIFTYLAN,Coffee/Tea,Manhattan,248,Mott Street,10012,6463988288,50172203
2026-03-24,JOLLIBEE,Filipino,Manhattan,14,East   42 Street,10017,3475101012,50175050
2026-03-24,RIVARENO GELATO,Frozen Desserts,Manhattan,195,Spring St,10012,9143550622,50164953
2026-03-24,BATHHOUSE,American,Brooklyn,103,North   10 Street,11249,9294892284,50166006
2026-03-24,GOOP KITCHEN,American,Brooklyn,356,Devoe Street,11211,6613105685,50182341
2026-03-23,MCKENZIE'S KITCHEN,Caribbean,Brooklyn,1553,Ralph Avenue,11236,9173374506,50182558
2026-03-23,PITA YEERO,Greek,Manhattan,100,Pearl Street,10004,9176362980,50161870
2026-03-23,AMITUOFO,Vegan,Brooklyn,19,Bogart Street,11206,7183662288,50172131
2026-03-23,EL REY TACOS,Mexican,Manhattan,1450,Broadway,10018,3472248331,50172144
2026-03-23,KEISER BREAKFAST,American,Brooklyn,110,Moore Street,11206,9176354104,50176027
2026-03-23,NAI BROTHER SAUERKRAUT FISH,Chinese,Manhattan,2817,Broadway,10025,6468951015,50166461
2026-03-21,KEVIN'S,Seafood,Brooklyn,277,Van Brunt Avenue,,7185968335,41304673
2026-03-21,WIDDI HALL,Middle Eastern,Brooklyn,5602,6 Avenue,11220,3473305970,50039667
2026-03-20,WONDER,Other,Manhattan,3780,Broadway,10032,9088086982,50171571
2026-03-20,FELIX EMPANADAS,Spanish,Manhattan,192,Orchard Street,10002,3058782371,50176129
2026-03-20,DEGIRMEN,Turkish,Brooklyn,224,Brighton Beach Avenue,11235,6468813322,50169151
2026-03-20,GONG CHA,Coffee/Tea,Manhattan,625,8 Avenue,10018,8609422931,50150488
2026-03-19,JEJU NOODLE BAR,Korean,Manhattan,679,Greenwich Street,10014,6466660947,50067953
2026-03-19,CHEZ MARGAUX,American,Manhattan,403,West   13 Street,10014,2127260703,50161952
2026-03-19,BESSIE'S PLACE CLUBHOUSE CAFE BAR,American,Manhattan,458,West  145 Street,10031,3473419528,50132655
2026-03-19,MENKOI SAO,Japanese,Manhattan,7,Cornelia Street,10014,9176532714,50181105
2026-03-19,MILKY ICE,Frozen Desserts,Manhattan,130,East   57 Street,10022,3472724332,50182268
2026-03-19,ZINC,American,Manhattan,82,West    3 Street,10012,2124779462,41372877
2026-03-19,ORAI RECORD BAR,Japanese,Manhattan,212,East   52 Street,10022,9172614726,50119094
2026-03-19,MADE IN NEW YORK PIZZA,Pizza,Manhattan,2563,Broadway,10025,9175447268,50166985
2026-03-19,JERUSALEM STEAKHOUSE,Jewish/Kosher,Brooklyn,1319,Avenue J,11230,7182588899,50181541
2026-03-19,CANTEEN @ CHELSEA PIERS FIELD HOUSE,American,Brooklyn,601,Dean Street,11238,6313880993,50140563
2026-03-18,MAPO ASIAN RESTAURANT & BAR,Chinese,Manhattan,728,8 Avenue,10036,6464550233,50168307
2026-03-18,SHELLY'S,Coffee/Tea,Manhattan,99,Allen Street,10002,9298665045,50171553
2026-03-18,LAO JIE HOTPOT,Asian/Asian Fusion,Brooklyn,2314,86 Street,11214,7188879887,50181443
2026-03-18,CHEZ NICK,American,Manhattan,1737,York Avenue,10128,6464293310,50099941
2026-03-18,CITY SUBS,Other,Brooklyn,9,Marcus Garvey Boulevard,11206,3476914427,50182296
2026-03-18,FAT BOYS BURGERS,Hamburgers,Manhattan,231,1 Avenue,10003,5595428255,50168936
2026-03-17,LUCKY TIGER NYC,Asian/Asian Fusion,Manhattan,66,Pearl Street,10004,3327334985,50145771
2026-03-17,THE FITCH COFFEE BAR,Coffee/Tea,Manhattan,33,Whitehall Street,10004,7043286780,50170257
2026-03-17,UN MUNDO SALUDABLE (HERBALIFE),"Juice, Smoothies, Fruit Salads",Brooklyn,4417,18 Avenue,11204,7187914462,50075017
2026-03-16,CHOP'T,Salads,Manhattan,370,Greenwich Street,10013,3322690260,50175872
2026-03-16,MIKE'S PIZZA & RESTAURANT,Pizza,Brooklyn,5,Martense Street,11226,9296783214,50182625
2026-03-13,PERLE,Seafood,Manhattan,22,Greenwich Avenue,10011,6463703371,50165217
2026-03-13,DANNY'S,American,Manhattan,46,West   22 Street,10010,6465907330,50180151
2026-03-13,ARVINE,New American,Manhattan,19,Greenwich Avenue,10014,2129015700,50170393
2026-03-12,LANZHOU HAND PULLED NOODLES & DUMPLINGS,Chinese,Manhattan,76,Mott Street,10013,6465773822,50165044
2026-03-12,LLOYD'S CARROT CAKE,Coffee/Tea,Manhattan,1565,Lexington Avenue,10029,2128319156,50173143
2026-03-12,SEOR PIZZA,Other,Brooklyn,3005,Avenue K,11210,9176354062,50179673
2026-03-12,PITA YEERO,Other,Manhattan,230,Park Avenue,10169,9176362980,50165133
2026-03-12,CEDAR STAR CATERING,Middle Eastern,Brooklyn,1326,Newkirk Avenue,11230,9176273638,50111988
2026-03-12,LOU YAU KEE HAINAN  CHICKEN RICE II,Chinese,Manhattan,230,Park Avenue,10169,9295716173,50166885
2026-03-12,KENNEDY CHICKEN & BURGER,Chicken,Manhattan,1502,Amsterdam Avenue,10031,9173015693,50177279
2026-03-12,WENDY'S,American,Brooklyn,3,Debevoise Street,11206,3473950502,50180834
2026-03-12,WETZEL'S PRETZELS,Hotdogs/Pretzels,Manhattan,1000,S 8Th Ave,10019,3327997385,50182404
2026-03-12,LA MERCERIE,French,Manhattan,53,Howard Street,10013,2128529097,50177568
2026-03-11,MARLOW EAST,American,Manhattan,1022,Lexington Avenue,10021,6467670123,50164674
2026-03-11,COCO BUBBLE TEA / CRAB HOUSE TIME SQUARE / PRONTO PASTA,Other,Manhattan,218,West   40 Street,10018,6463383314,50168755
2026-03-11,JOHN JAY CAMPUS EATS,American,Manhattan,524,West   59 Street,10019,7186640720,50181935
2026-03-11,COZY ON THE SLOPE,American,Brooklyn,236,6 Street,11215,9178324922,50155643
2026-03-11,ALVO PIZZA,Pizza,Brooklyn,150,Smith Street,11201,3153731769,50168462
2026-03-11,HAWA,"Juice, Smoothies, Fruit Salads",Brooklyn,44,Willoughby Street,11201,7187096158,50181356
2026-03-11,ROTHSCHILD TLV,Jewish/Kosher,Manhattan,1129,Lexington Avenue,10075,9172020750,50118554
